Profesor comisie: prof dr. Ion Ion
Teste evaluate la: 2017-06-06 18:07:45
_____________________________________________________________________________________
img1_F3.jpg Grila: Fizica 3, [6 Matematica], [6 Fizica]. Nota finala: 4.6
img43_I4.jpg Grila: Informatica 2, [4 Matematica], [1 Informatica]. Nota finala: 2.5
img44_I2.jpg Grila: Informatica 2, [11 Matematica], [7 Informatica]. Nota finala: 6.4
img45_F4.jpg Grila: Fizica 4, [9 Matematica], [10 Fizica]. Nota finala: 6.7
img46_I1.jpg Grila: Informatica 4, [5 Matematica], [3 Informatica]. Nota finala: 3.4
img47_F1.jpg Grila: Fizica 1, [9 Matematica], [10 Fizica]. Nota finala: 6.7
img48_F3.jpg Grila: Fizica 3, [12 Matematica], [11 Fizica]. Nota finala: 7.9
img49_F2.jpg Grila: Fizica 2, [10 Matematica], [11 Fizica]. Nota finala: 7.3
img50_I4.jpg Grila: Informatica 4, [10 Matematica], [6 Informatica]. Nota finala: 5.8
img51_F3.jpg Grila: Fizica 2, [2 Matematica], [2 Fizica]. Nota finala: 2.2
img52_F1.jpg Grila: Fizica 1, [9 Matematica], [10 Fizica]. Nota finala: 6.7
img53_I2.jpg Grila: Informatica 2, [11 Matematica], [10 Informatica]. Nota finala: 7.3
img54_F1.jpg Grila: Fizica 1, [8 Matematica], [8 Fizica]. Nota finala: 5.8
img55_F3.jpg Grila: Fizica 3, [10 Matematica], [10 Fizica]. Nota finala: 7.0
img56_F1.jpg Grila: Fizica 2, [4 Matematica], [6 Fizica]. Nota finala: 4.0
img57_F3.jpg Grila: Fizica 3, [12 Matematica], [10 Fizica]. Nota finala: 7.6
img58_I3.jpg Grila: Informatica 3, [7 Matematica], [5 Informatica]. Nota finala: 4.6
img59_F3.jpg Grila: Fizica 2, [4 Matematica], [3 Fizica]. Nota finala: 3.1
img60_I4.jpg Grila: Informatica 4, [9 Matematica], [6 Informatica]. Nota finala: 5.5
img61_F1.jpg Grila: Fizica 1, [12 Matematica], [13 Fizica]. Nota finala: 8.5
img62_F1.jpg Grila: Fizica 4, [4 Matematica], [2 Fizica]. Nota finala: 2.8
img63_F2.jpg Grila: Fizica 2, [5 Matematica], [9 Fizica]. Nota finala: 5.2
img64_I4.jpg Grila: Informatica 3, [3 Matematica], [4 Informatica]. Nota finala: 3.1
img65_F4.jpg Grila: Fizica 4, [10 Matematica], [9 Fizica]. Nota finala: 6.7
img66_F1.jpg Grila: Fizica 1, [6 Matematica], [8 Fizica]. Nota finala: 5.2
img67_F1.jpg Grila: Fizica 1, [9 Matematica], [8 Fizica]. Nota finala: 6.1
img68_I4.jpg Grila: Informatica 4, [11 Matematica], [6 Informatica]. Nota finala: 6.1
img69_F2.jpg Grila: Fizica 2, [12 Matematica], [12 Fizica]. Nota finala: 8.2
img70_F3.jpg Grila: Fizica 3, [7 Matematica], [11 Fizica]. Nota finala: 6.4
img71_F3.jpg Grila: Fizica 3, [14 Matematica], [12 Fizica]. Nota finala: 8.8
img72_I4.jpg Grila: Informatica 4, [10 Matematica], [11 Informatica]. Nota finala: 7.3
img73_F1.jpg Grila: Fizica 1, [7 Matematica], [7 Fizica]. Nota finala: 5.2
img74_I3.jpg Grila: Informatica 3, [5 Matematica], [5 Informatica]. Nota finala: 4.0
img75_I2.jpg Grila: Informatica 2, [8 Matematica], [5 Informatica]. Nota finala: 4.9
img76_F1.jpg Grila: Fizica 1, [12 Matematica], [12 Fizica]. Nota finala: 8.2
img77_F3.jpg Grila: Fizica 3, [12 Matematica], [8 Fizica]. Nota finala: 7.0
img78_F1.jpg Grila: Fizica 1, [8 Matematica], [11 Fizica]. Nota finala: 6.7
img79_I4.jpg Grila: Informatica 4, [12 Matematica], [10 Informatica]. Nota finala: 7.6
img80_I4.jpg Grila: Informatica 2, [4 Matematica], [3 Informatica]. Nota finala: 3.1
img81_I1.jpg Grila: Informatica 1, [9 Matematica], [6 Informatica]. Nota finala: 5.5
img82_I1.jpg Grila: Informatica 1, [10 Matematica], [6 Informatica]. Nota finala: 5.8
img83_F4.jpg Grila: Fizica 2, [3 Matematica], [2 Fizica]. Nota finala: 2.5
img84_F1.jpg Grila: Fizica 1, [9 Matematica], [12 Fizica]. Nota finala: 7.3
img85_F4.jpg Grila: Fizica 4, [6 Matematica], [7 Fizica]. Nota finala: 4.9
img86_I3.jpg Grila: Informatica 3, [5 Matematica], [7 Informatica]. Nota finala: 4.6
img87_F3.jpg Grila: Fizica 3, [14 Matematica], [12 Fizica]. Nota finala: 8.8
img88_F1.jpg Grila: Fizica 4, [2 Matematica], [2 Fizica]. Nota finala: 2.2
img89_I1.jpg Grila: Informatica 1, [7 Matematica], [7 Informatica]. Nota finala: 5.2
img90_I3.jpg Grila: Informatica 3, [9 Matematica], [7 Informatica]. Nota finala: 5.8
img91_F4.jpg Grila: Fizica 1, [4 Matematica], [4 Fizica]. Nota finala: 3.4
img92_F1.jpg Grila: Fizica 4, [3 Matematica], [2 Fizica]. Nota finala: 2.5
img93_F2.jpg Grila: Fizica 2, [14 Matematica], [9 Fizica]. Nota finala: 7.9
img94_F1.jpg Grila: Fizica 4, [1 Matematica], [3 Fizica]. Nota finala: 2.2
img95_I1.jpg Grila: Informatica 2, [4 Matematica], [3 Informatica]. Nota finala: 3.1
img96_F1.jpg Grila: Fizica 1, [13 Matematica], [9 Fizica]. Nota finala: 7.6
img97_F3.jpg Grila: Fizica 3, [8 Matematica], [12 Fizica]. Nota finala: 7.0
img98_I1.jpg Grila: Informatica 4, [3 Matematica], [1 Informatica]. Nota finala: 2.2
img99_I1.jpg Grila: Informatica 1, [10 Matematica], [11 Informatica]. Nota finala: 7.3
img100_F3.jpg Grila: Fizica 3, [12 Matematica], [11 Fizica]. Nota finala: 7.9
img101_I2.jpg Grila: Informatica 2, [14 Matematica], [9 Informatica]. Nota finala: 7.9
img102_F1.jpg Grila: Fizica 1, [9 Matematica], [7 Fizica]. Nota finala: 5.8
img103_F4.jpg Grila: Fizica 4, [11 Matematica], [8 Fizica]. Nota finala: 6.7
img104_F3.jpg Grila: Fizica 3, [11 Matematica], [13 Fizica]. Nota finala: 8.2
img105_I2.jpg Grila: Informatica 2, [6 Matematica], [7 Informatica]. Nota finala: 4.9
img106_F1.jpg Grila: Fizica 1, [12 Matematica], [11 Fizica]. Nota finala: 7.9
img107_F4.jpg Grila: Fizica 4, [10 Matematica], [4 Fizica]. Nota finala: 5.2
img108_F2.jpg Grila: Fizica 2, [9 Matematica], [8 Fizica]. Nota finala: 6.1
img109_F2.jpg Grila: Fizica 2, [12 Matematica], [12 Fizica]. Nota finala: 8.2
img110_F2.jpg Grila: Fizica 2, [13 Matematica], [12 Fizica]. Nota finala: 8.5
img111_I2.jpg Grila: Informatica 2, [10 Matematica], [10 Informatica]. Nota finala: 7.0
img112_F4.jpg Grila: Fizica 4, [9 Matematica], [9 Fizica]. Nota finala: 6.4
img113_I2.jpg Grila: Informatica 4, [2 Matematica], [5 Informatica]. Nota finala: 3.1
img114_I3.jpg Grila: Informatica 3, [7 Matematica], [3 Informatica]. Nota finala: 4.0
img115_I4.jpg Grila: Informatica 4, [7 Matematica], [9 Informatica]. Nota finala: 5.8
img116_F2.jpg Grila: Fizica 2, [9 Matematica], [8 Fizica]. Nota finala: 6.1
img117_I4.jpg Grila: Informatica 4, [7 Matematica], [8 Informatica]. Nota finala: 5.5
img118_I4.jpg Grila: Informatica 4, [4 Matematica], [4 Informatica]. Nota finala: 3.4
img119_I4.jpg Grila: Informatica 4, [2 Matematica], [2 Informatica]. Nota finala: 2.2
img120_F3.jpg Grila: Fizica 3, [13 Matematica], [11 Fizica]. Nota finala: 8.2
img121_I4.jpg Grila: Informatica 4, [2 Matematica], [2 Informatica]. Nota finala: 2.2
img122_F3.jpg Grila: Fizica 3, [8 Matematica], [12 Fizica]. Nota finala: 7.0
img123_F3.jpg Grila: Fizica 3, [10 Matematica], [11 Fizica]. Nota finala: 7.3
img124_F1.jpg Grila: Fizica 1, [5 Matematica], [4 Fizica]. Nota finala: 3.7
img125_F1.jpg Grila: Fizica 4, [3 Matematica], [5 Fizica]. Nota finala: 3.4
img126_I3.jpg Grila: Informatica 3, [11 Matematica], [6 Informatica]. Nota finala: 6.1
img127_I4.jpg Grila: Informatica 4, [9 Matematica], [11 Informatica]. Nota finala: 7.0
img128_I4.jpg Grila: Informatica 2, [1 Matematica], [1 Informatica]. Nota finala: 1.6
img129_F1.jpg Grila: Fizica 4, [3 Matematica], [5 Fizica]. Nota finala: 3.4
img130_I4.jpg Grila: Informatica 4, [2 Matematica], [4 Informatica]. Nota finala: 2.8
img131_I3.jpg Grila: Informatica 2, [4 Matematica], [6 Informatica]. Nota finala: 4.0
img132_I3.jpg Grila: Informatica 2, [6 Matematica], [5 Informatica]. Nota finala: 4.3
img133_F1.jpg Grila: Fizica 1, [10 Matematica], [10 Fizica]. Nota finala: 7.0
img134_F1.jpg Grila: Fizica 2, [4 Matematica], [3 Fizica]. Nota finala: 3.1
img135_I2.jpg Grila: Informatica 2, [13 Matematica], [8 Informatica]. Nota finala: 7.3
img136_F2.jpg Grila: Fizica 2, [8 Matematica], [8 Fizica]. Nota finala: 5.8
img137_F2.jpg Grila: Fizica 2, [7 Matematica], [11 Fizica]. Nota finala: 6.4
img138_F2.jpg Grila: Fizica 2, [7 Matematica], [7 Fizica]. Nota finala: 5.2
img139_F4.jpg Grila: Fizica 4, [13 Matematica], [9 Fizica]. Nota finala: 7.6
img140_I1.jpg Grila: Informatica 1, [7 Matematica], [4 Informatica]. Nota finala: 4.3
img141_F2.jpg Grila: Fizica 2, [6 Matematica], [8 Fizica]. Nota finala: 5.2
img142_F1.jpg Grila: Fizica 1, [12 Matematica], [9 Fizica]. Nota finala: 7.3
img143_F3.jpg Grila: Fizica 4, [2 Matematica], [3 Fizica]. Nota finala: 2.5
img144_I3.jpg Grila: Informatica 3, [7 Matematica], [6 Informatica]. Nota finala: 4.9
img145_F1.jpg Grila: Fizica 1, [10 Matematica], [11 Fizica]. Nota finala: 7.3
img146_I1.jpg Grila: Informatica 1, [6 Matematica], [5 Informatica]. Nota finala: 4.3
img147_I1.jpg Grila: Informatica 1, [10 Matematica], [11 Informatica]. Nota finala: 7.3
img148_F4.jpg Grila: Fizica 1, [3 Matematica], [1 Fizica]. Nota finala: 2.2
img149_I3.jpg Grila: Informatica 3, [10 Matematica], [6 Informatica]. Nota finala: 5.8
img150_F3.jpg Grila: Fizica 3, [14 Matematica], [11 Fizica]. Nota finala: 8.5
img151_F3.jpg Grila: Fizica 3, [3 Matematica], [4 Fizica]. Nota finala: 3.1
img152_F3.jpg Grila: Fizica 3, [12 Matematica], [8 Fizica]. Nota finala: 7.0
img153_F3.jpg Grila: Fizica 3, [9 Matematica], [11 Fizica]. Nota finala: 7.0
img154_F1.jpg Grila: Fizica 1, [10 Matematica], [7 Fizica]. Nota finala: 6.1
img155_I1.jpg Grila: Informatica 1, [9 Matematica], [7 Informatica]. Nota finala: 5.8
img156_F3.jpg Grila: Fizica 2, [8 Matematica], [4 Fizica]. Nota finala: 4.6
img157_I4.jpg Grila: Informatica 4, [6 Matematica], [7 Informatica]. Nota finala: 4.9
img158_F4.jpg Grila: Fizica 2, [3 Matematica], [4 Fizica]. Nota finala: 3.1
img159_F3.jpg Grila: Fizica 3, [10 Matematica], [7 Fizica]. Nota finala: 6.1
img160_F1.jpg Grila: Fizica 1, [13 Matematica], [9 Fizica]. Nota finala: 7.6
img161_F2.jpg Grila: Fizica 2, [9 Matematica], [11 Fizica]. Nota finala: 7.0
img162_I2.jpg Grila: Informatica 2, [9 Matematica], [13 Informatica]. Nota finala: 7.6
img163_F3.jpg Grila: Fizica 4, [2 Matematica], [4 Fizica]. Nota finala: 2.8
img164_F4.jpg Grila: Fizica 1, [2 Matematica], [3 Fizica]. Nota finala: 2.5
img165_F2.jpg Grila: Fizica 2, [5 Matematica], [8 Fizica]. Nota finala: 4.9
img166_I3.jpg Grila: Informatica 2, [5 Matematica], [4 Informatica]. Nota finala: 3.7
img167_F1.jpg Grila: Fizica 4, [3 Matematica], [3 Fizica]. Nota finala: 2.8
img168_I2.jpg Grila: Informatica 2, [8 Matematica], [12 Informatica]. Nota finala: 7.0
img169_I2.jpg Grila: Informatica 2, [8 Matematica], [5 Informatica]. Nota finala: 4.9
img170_I1.jpg Grila: Informatica 1, [6 Matematica], [6 Informatica]. Nota finala: 4.6
img171_F2.jpg Grila: Fizica 2, [12 Matematica], [11 Fizica]. Nota finala: 7.9
img172_F3.jpg Grila: Fizica 3, [6 Matematica], [7 Fizica]. Nota finala: 4.9
img173_I2.jpg Grila: Informatica 2, [5 Matematica], [4 Informatica]. Nota finala: 3.7
img174_I3.jpg Grila: Informatica 2, [4 Matematica], [4 Informatica]. Nota finala: 3.4
img175_I1.jpg Grila: Informatica 1, [9 Matematica], [6 Informatica]. Nota finala: 5.5
img176_I4.jpg Grila: Informatica 3, [1 Matematica], [2 Informatica]. Nota finala: 1.9
img177_I1.jpg Grila: Informatica 1, [8 Matematica], [5 Informatica]. Nota finala: 4.9
img178_F2.jpg Grila: Fizica 2, [14 Matematica], [9 Fizica]. Nota finala: 7.9
img179_I4.jpg Grila: Informatica 4, [7 Matematica], [8 Informatica]. Nota finala: 5.5
img180_I4.jpg Grila: Informatica 4, [3 Matematica], [3 Informatica]. Nota finala: 2.8
img181_I2.jpg Grila: Informatica 2, [11 Matematica], [7 Informatica]. Nota finala: 6.4
img182_I1.jpg Grila: Informatica 1, [3 Matematica], [3 Informatica]. Nota finala: 2.8
img183_I3.jpg Grila: Informatica 3, [4 Matematica], [9 Informatica]. Nota finala: 4.9
img184_I1.jpg Grila: Informatica 1, [6 Matematica], [1 Informatica]. Nota finala: 3.1
img185_I2.jpg Grila: Informatica 2, [10 Matematica], [5 Informatica]. Nota finala: 5.5
img186_F4.jpg Grila: Fizica 4, [14 Matematica], [12 Fizica]. Nota finala: 8.8
img187_F2.jpg Grila: Fizica 2, [13 Matematica], [13 Fizica]. Nota finala: 8.8
img188_F2.jpg Grila: Fizica 2, [10 Matematica], [13 Fizica]. Nota finala: 7.9
img189_I2.jpg Grila: Informatica 2, [10 Matematica], [10 Informatica]. Nota finala: 7.0
img190_F1.jpg Grila: Fizica 4, [1 Matematica], [2 Fizica]. Nota finala: 1.9
img191_F1.jpg Grila: Fizica 1, [13 Matematica], [9 Fizica]. Nota finala: 7.6
_____________________________________________________________________________________
